户型,面积,楼层,总楼层,走向
3室2厅,87.0,低层,9,南北向
2室2厅,87.72,高层,32,南北向
2室1厅,83.0,中层,6,南北向
1室1厅,23.51,顶层,6,南向
2室1厅,44.0,顶层,6,东西向
3室1厅,75.0,中层,13,南北向
3室1厅,68.0,中层,13,南北向
3室1厅,105.0,中层,20,南北向
1室1厅,31.34,高层,7,南向
3室2厅,89.32,高层,7,南北向
1室1厅,30.0,高层,6,南向
1室1厅,26.2,中层,6,南向
1室0厅,13.88,高层,5,南向
1室1厅,22.4,顶层,6,南向
2室1厅,68.15,低层,24,南向
1室0厅,11.95,中层,4,北向
1室0厅,26.04,中层,5,南向
3室2厅,137.0,中层,25,南向
2室1厅,40.02,中层,8,南北向
2室1厅,105.35,高层,10,南北向
1室1厅,15.0,顶层,2,东西南北向
1室1厅,14.54,顶层,6,南向
2室1厅,68.54,中层,6,东西向
2室1厅,35.14,中层,5,南北向
1室1厅,27.11,低层,7,南向
2室1厅,84.91,中层,7,南北向
2室1厅,39.71,顶层,6,南向
1室1厅,22.66,中层,5,东向
2室2厅,96.29,低层,6,南北向
1室1厅,36.0,中层,6,南北向
3室2厅,118.0,高层,20,南向
1室0厅,15.13,高层,7,西向
1室1厅,25.91,高层,4,南向
2室1厅,91.14,中层,7,南北向
2室2厅,132.25,低层,9,南北向
1室1厅,32.98,低层,6,南向
1室1厅,48.71,低层,10,东向
3室2厅,151.41,中层,12,南北向
1室1厅,35.92,高层,8,南向
2室1厅,60.5,高层,6,东西向
1室1厅,33.66,高层,6,南向
1室1厅,37.32,中层,8,北向
1室1厅,37.38,中层,8,东向
1室1厅,49.85,低层,10,西向
2室1厅,64.1,中层,8,南北向
2室1厅,49.34,低层,10,北向
2室1厅,48.67,高层,6,东西向
1室1厅,41.96,高层,6,西向
3室2厅,170.9,低层,9,南北向
3室1厅,128.49,中层,11,西北向
1室1厅,53.46,高层,14,北向
1室1厅,36.89,中层,8,南向
2室1厅,74.15,高层,7,南北向
1室1厅,38.0,低层,8,南向
1室1厅,39.03,低层,8,南向
1室1厅,35.79,高层,8,东向
1室1厅,48.51,中层,22,东北向
1室1厅,35.17,中层,8,北向
1室1厅,38.09,中层,8,东向
3室1厅,108.91,高层,6,南北向
2室1厅,64.9,顶层,5,东南向
1室1厅,48.83,中层,10,南向
1室1厅,38.51,低层,6,南向
2室1厅,68.85,中层,8,南北向
1室1厅,38.96,中层,8,南向
2室1厅,59.14,中层,8,南北向
2室1厅,58.05,低层,6,东西向
3室1厅,122.53,高层,6,东南向
2室1厅,70.15,中层,10,东西向
1室1厅,49.2,低层,10,南向
1室1厅,36.93,中层,7,南向
1室1厅,35.63,中层,7,南向
1室1厅,37.43,高层,8,北向
1室1厅,49.2,中层,10,东向
1室1厅,38.57,高层,8,东向
3室2厅,110.28,高层,7,南北向
2室1厅,58.89,中层,6,南北向
2室1厅,55.23,高层,14,北向
1室1厅,36.87,中层,8,东向
1室1厅,35.87,高层,8,西向
2室1厅,67.8,顶层,5,东南向
1室1厅,49.2,高层,10,南向
2室1厅,72.06,高层,6,南向
2室1厅,65.0,顶层,5,东南向
2室1厅,112.84,中层,11,南向
1室1厅,36.11,中层,8,东向
1室1厅,35.08,中层,8,北向
2室1厅,49.48,中层,10,北向
1室1厅,36.73,高层,6,东向
2室1厅,84.88,中层,7,南北向
4室2厅,201.28,中层,5,南北向
3室2厅,89.85,中层,15,南北向
3室1厅,84.8,中层,24,南向
1室1厅,38.78,高层,7,东向
1室1厅,51.65,中层,14,南向
1室1厅,34.93,中层,7,东向
2室1厅,56.08,中层,7,南北向
2室2厅,116.18,低层,12,南北向
3室1厅,152.21,中层,8,南北向
1室1厅,50.38,低层,10,南向
1室1厅,36.19,中层,8,南向
1室1厅,49.01,高层,10,西向
2室1厅,57.12,中层,6,东南向
2室1厅,106.59,低层,13,东西向
3室2厅,144.64,低层,11,南北向
2室1厅,54.78,高层,6,东西向
4室2厅,164.57,中层,9,西北向
2室1厅,86.94,中层,32,东南向
1室1厅,35.19,高层,8,西向
2室1厅,75.87,低层,11,南北向
2室1厅,124.09,高层,25,南向
1室1厅,49.2,低层,10,南向
2室2厅,105.95,高层,9,南北向
2室2厅,123.91,中层,6,南北向
2室1厅,54.41,中层,8,东向
1室1厅,54.06,高层,26,南向
2室1厅,80.7,中层,32,南向
1室1厅,55.92,中层,14,北向
2室2厅,124.47,高层,15,东西向
3室2厅,129.42,中层,7,南北向
3室2厅,89.85,中层,15,南北向
2室1厅,56.61,中层,6,南北向
2室2厅,85.7,低层,28,南北向
2室1厅,106.84,中层,6,南北向
2室1厅,105.22,中层,23,南向
1室1厅,57.1,中层,32,南向
1室1厅,56.28,中层,48,东向
1室1厅,51.94,高层,6,南向
3室2厅,152.97,中层,9,西南向
2室1厅,61.52,中层,6,南北向
2室1厅,95.38,高层,11,南向
2室1厅,99.4,中层,6,南北向
2室1厅,59.62,低层,7,南北向
3室2厅,94.35,低层,7,南向
1室1厅,37.18,高层,7,东向
2室1厅,110.17,高层,12,南北向
2室1厅,97.2,中层,30,南北向
2室1厅,95.69,低层,6,南北向
3室1厅,106.59,中层,13,东西向
1室1厅,44.0,中层,6,东向
2室1厅,61.78,高层,6,南北向
3室1厅,122.67,高层,26,南北向
2室1厅,58.8,高层,7,南北向
3室2厅,141.0,低层,7,南北向
2室1厅,54.1,中层,8,东向
2室1厅,89.35,高层,16,西南向
5室2厅,270.58,高层,7,南北向
3室2厅,141.87,高层,11,东南向
3室1厅,77.97,低层,6,南北向
1室0厅,15.0,高层,5,南向
3室1厅,99.76,低层,34,南北向
2室1厅,96.99,低层,6,南北向
3室1厅,96.87,中层,17,南向
1室1厅,62.95,低层,21,西向
2室2厅,111.61,高层,9,南北向
2室2厅,108.34,低层,48,南向
2室2厅,99.31,低层,13,南北向
3室2厅,134.38,低层,9,南北向
3室1厅,124.47,低层,15,东西向
2室1厅,68.46,高层,8,西向
2室2厅,94.47,高层,18,东南向
2室1厅,60.0,高层,6,南北向
2室1厅,56.81,低层,7,南北向
2室1厅,48.69,中层,8,东向
1室1厅,31.16,高层,8,东向
2室2厅,80.0,中层,20,南北向
3室1厅,81.04,顶层,6,南北向
1室1厅,57.62,低层,32,南北向
2室1厅,40.58,高层,6,南北向
2室1厅,68.62,中层,8,南北向
3室1厅,111.82,高层,16,南北向
2室2厅,102.34,低层,6,南北向
3室2厅,139.97,低层,18,西北向
1室1厅,58.79,低层,6,南向
1室1厅,32.73,中层,7,南向
4室2厅,224.13,中层,31,南北向
1室1厅,38.75,中层,7,东南向
4室2厅,199.82,中层,11,南向
1室1厅,37.02,高层,7,东向
2室1厅,116.44,中层,25,南向
2室1厅,59.81,中层,6,南北向
2室2厅,85.08,低层,26,南向
1室1厅,51.81,高层,48,西向
3室2厅,191.0,中层,18,南北向
3室2厅,117.21,低层,29,南北向
3室2厅,99.49,中层,7,南向
1室1厅,37.0,高层,8,西向
1室1厅,46.86,中层,6,东南向
1室1厅,50.34,中层,7,南向
3室2厅,105.5,低层,18,南北向
3室2厅,162.89,中层,11,南北向
2室1厅,99.4,中层,6,南北向
3室2厅,94.15,中层,26,南北向
1室1厅,33.97,中层,7,东向
4室2厅,190.92,高层,11,南北向
2室1厅,57.83,高层,7,南向
2室1厅,69.92,高层,32,西南向
1室1厅,48.78,中层,6,南向
2室1厅,65.47,高层,5,南北向
2室2厅,85.7,低层,28,南北向
2室1厅,79.71,低层,21,东南向
2室1厅,106.59,中层,13,西向
2室2厅,81.99,中层,6,南北向
2室1厅,77.27,中层,6,南北向
2室1厅,69.8,中层,32,东南向
3室2厅,162.5,中层,8,南北向
2室1厅,40.59,高层,7,南向
2室1厅,57.24,中层,7,南北向
4室2厅,223.19,高层,6,南北向
1室1厅,53.92,低层,30,西向
2室1厅,89.26,高层,27,南北向
3室2厅,57.88,低层,24,南向
1室1厅,56.0,中层,48,西向
1室1厅,60.09,中层,21,东向
2室2厅,102.25,高层,9,南北向
2室1厅,42.91,高层,7,南北向
2室1厅,105.53,低层,6,南北向
2室1厅,74.51,高层,6,南北向
3室1厅,107.6,低层,6,南北向
2室2厅,95.99,中层,11,南北向
2室2厅,98.65,高层,25,南向
3室2厅,95.07,中层,7,南北向
3室2厅,119.87,顶层,7,南北向
2室1厅,108.31,低层,16,南北向
1室1厅,51.65,低层,14,南向
2室1厅,90.28,高层,6,南北向
1室1厅,36.08,中层,7,西向
2室1厅,91.0,中层,6,南北向
3室2厅,153.24,中层,11,南北向
2室1厅,59.81,高层,6,南北向
3室2厅,112.0,低层,7,南北向
2室1厅,79.71,中层,21,西北向
2室2厅,85.53,中层,25,南北向
2室1厅,49.41,中层,6,南北向
3室2厅,106.25,高层,7,南北向
3室1厅,78.62,中层,6,南北向
2室1厅,83.96,低层,30,南向
1室1厅,41.63,高层,6,西向
2室2厅,124.47,中层,15,东西向
2室1厅,56.18,低层,6,南北向
2室2厅,85.63,低层,6,南向
2室1厅,96.32,高层,6,东西向
2室2厅,108.1,中层,8,南北向
3室2厅,117.62,低层,11,南北向
2室1厅,104.86,高层,6,南北向
2室1厅,84.38,高层,28,南向
1室1厅,24.34,高层,6,南向
2室2厅,114.37,高层,11,南北向
1室1厅,25.43,中层,7,东向
2室1厅,49.36,中层,7,西向
3室2厅,114.28,高层,11,南向
1室1厅,37.93,顶层,6,南向
2室2厅,117.58,低层,6,南北向
3室2厅,94.9,中层,11,南北向
1室1厅,48.83,高层,10,南向
4室2厅,183.31,中层,5,南北向
1室0厅,17.89,高层,4,南向
4室1厅,132.57,中层,5,南北向
2室1厅,79.71,高层,21,西北向
2室1厅,102.25,高层,9,南北向
1室1厅,40.88,低层,8,东向
3室2厅,142.86,低层,9,南北向
3室2厅,104.17,中层,16,南北向
3室2厅,97.59,中层,15,南向
3室2厅,140.27,中层,13,北向
3室2厅,152.33,高层,6,南向
1室1厅,45.32,低层,6,南向
2室1厅,98.0,中层,11,南北向
2室1厅,109.15,高层,18,南北向
2室1厅,70.68,中层,5,东西向
3室2厅,124.36,高层,7,南北向
3室1厅,97.14,低层,8,南北向
1室1厅,72.62,中层,48,东南向
1室1厅,34.93,中层,7,东向
3室2厅,144.02,高层,28,南北向
3室1厅,134.13,中层,18,南北向
2室1厅,60.17,中层,6,西北向
2室1厅,122.36,低层,12,南北向
2室1厅,52.07,中层,6,西南向
1室1厅,35.97,高层,6,东北向
3室2厅,117.87,高层,11,南北向
2室1厅,45.35,低层,6,南北向
2室1厅,38.93,高层,6,南向
1室1厅,36.15,中层,6,西向
2室2厅,117.58,低层,6,南北向
2室2厅,89.44,高层,6,南向
4室2厅,123.38,中层,18,南北向
1室0厅,15.8,高层,5,南向
1室1厅,34.87,中层,7,西向
3室1厅,124.81,高层,7,南北向
2室2厅,87.0,高层,30,南向
2室1厅,104.91,低层,6,南北向
1室1厅,57.54,高层,32,西南向
2室1厅,60.68,中层,6,东西向
2室2厅,105.75,中层,6,南北向
1室1厅,32.04,低层,6,东南向
2室2厅,79.05,中层,24,南向
2室2厅,129.18,高层,11,南北向
2室1厅,79.71,高层,21,东南向
3室2厅,94.27,中层,21,南向
1室1厅,35.41,低层,7,东向
1室1厅,35.11,顶层,7,南向
2室1厅,64.92,低层,6,南北向
1室1厅,35.28,中层,8,西向
2室1厅,105.53,低层,6,南北向
2室1厅,86.94,低层,33,西南向
1室1厅,38.33,中层,8,东向
2室1厅,59.8,高层,8,南北向
3室2厅,122.08,中层,17,南北向
3室1厅,97.73,低层,11,南北向
1室1厅,57.67,中层,28,南北向
2室1厅,40.42,中层,6,南向
3室2厅,154.7,中层,28,西南向
1室1厅,33.03,中层,8,东向
2室1厅,56.92,中层,8,东向
1室1厅,36.11,高层,7,南向
2室2厅,97.61,中层,6,南北向
3室2厅,139.97,低层,18,南北向
3室2厅,88.85,低层,8,南北向
3室2厅,102.96,低层,6,南北向
1室1厅,57.03,高层,28,南向
3室2厅,142.87,高层,22,南北向
2室1厅,103.35,中层,10,南北向
2室2厅,117.33,低层,18,东南向
2室2厅,124.47,中层,15,东西向
2室2厅,118.0,中层,6,南向
2室1厅,35.82,低层,6,北向
2室1厅,51.88,低层,6,南向
3室2厅,105.4,低层,9,南北向
1室1厅,28.71,低层,6,南向
3室1厅,115.27,中层,16,南北向
3室1厅,95.16,中层,11,南北向
2室2厅,124.47,高层,15,东西向
2室1厅,84.76,中层,7,南北向
2室1厅,60.95,高层,6,南北向
3室2厅,123.52,中层,11,南向
1室1厅,56.01,低层,48,东向
3室2厅,151.23,高层,10,南北向
3室1厅,205.09,高层,8,南北向
2室1厅,95.0,高层,6,南北向
2室1厅,104.0,顶层,6,南北向
2室1厅,72.16,高层,11,东向
1室1厅,50.95,中层,20,南北向
3室2厅,151.03,高层,25,南北向
2室2厅,88.44,高层,7,南北向
1室1厅,40.09,中层,7,南向
3室2厅,159.0,高层,16,南向
3室1厅,89.1,高层,8,南向
3室2厅,219.66,中层,5,南北向
1室0厅,25.9,高层,5,南北向
3室2厅,120.0,顶层,12,南北向
3室2厅,90.0,中层,26,南北向
3室2厅,144.0,顶层,12,南北向
2室1厅,89.84,中层,27,南北向
4室2厅,140.95,中层,15,南北向
3室1厅,110.61,中层,28,南北向
2室1厅,67.23,高层,8,东西向
2室1厅,68.85,中层,8,南北向
2室2厅,95.1,高层,8,南北向
2室2厅,96.56,中层,15,南北向
2室1厅,78.0,中层,18,南向
3室2厅,96.22,低层,18,南北向
4室2厅,164.47,中层,17,南北向
2室1厅,48.75,高层,7,南北向
2室1厅,49.37,高层,8,南向
2室2厅,113.35,中层,11,南北向
3室1厅,199.23,中层,7,南北向
3室2厅,130.0,低层,28,南北向
2室2厅,88.0,低层,33,南北向
1室0厅,17.63,中层,5,南向
3室2厅,163.57,中层,14,南北向
4室2厅,114.45,中层,18,南北向
1室1厅,42.92,顶层,7,西向
2室1厅,80.64,中层,18,南向
2室2厅,91.5,中层,8,南北向
3室2厅,121.0,高层,8,南北向
3室1厅,174.76,低层,12,东南向
2室2厅,85.0,高层,6,南北向
2室1厅,48.69,中层,8,东向
3室2厅,114.3,低层,25,南北向
3室2厅,99.0,低层,18,南北向
2室2厅,106.72,高层,6,南北向
3室2厅,90.51,高层,8,南北向
2室1厅,80.57,中层,14,东南向
3室2厅,105.0,顶层,18,南北向
1室1厅,38.0,中层,6,北向
2室1厅,85.2,中层,22,南向
3室2厅,118.0,低层,11,南北向
3室2厅,144.3,高层,7,南北向
2室1厅,29.54,中层,8,南向
2室2厅,117.58,低层,6,南北向
1室1厅,42.41,高层,6,南向
1室1厅,84.16,中层,27,南向
2室1厅,104.17,中层,6,南北向
2室1厅,40.51,中层,8,北向
3室2厅,134.19,中层,8,南北向
2室1厅,85.68,高层,14,北向
3室2厅,89.54,低层,9,南北向
1室1厅,50.0,高层,29,北向
2室1厅,56.43,低层,8,东向
2室1厅,75.53,中层,6,南北向
3室2厅,115.0,中层,17,南北向
3室2厅,159.34,高层,21,南北向
1室1厅,61.71,中层,26,南向
3室1厅,159.68,中层,24,南北向
3室1厅,135.26,中层,16,南北向
3室1厅,96.53,中层,18,南北向
2室2厅,92.63,低层,6,南北向
3室2厅,96.82,高层,18,南北向
2室1厅,69.67,顶层,7,东南向
2室1厅,77.53,中层,41,东南向
3室2厅,143.53,低层,17,南北向
3室2厅,139.7,中层,12,南向
2室2厅,92.0,高层,8,南北向
3室2厅,99.03,高层,33,南北向
4室2厅,175.88,高层,17,南北向
2室1厅,52.0,高层,5,南北向
2室2厅,94.33,中层,11,南北向
4室2厅,173.34,低层,27,南北向
2室1厅,57.0,高层,6,南北向
3室2厅,110.57,中层,11,南向
1室1厅,36.53,高层,8,东向
1室1厅,31.34,高层,7,南向
2室2厅,108.34,中层,7,南北向
2室1厅,91.55,低层,6,南北向
3室2厅,93.66,低层,11,南北向
1室1厅,42.76,中层,8,西向
2室1厅,80.0,低层,28,南北向
2室2厅,99.18,中层,15,南北向
2室1厅,106.51,中层,7,南北向
3室2厅,125.39,中层,10,南北向
2室1厅,45.69,中层,8,北向
2室1厅,40.59,高层,7,南向
3室2厅,147.87,顶层,11,南向
3室2厅,129.38,高层,21,南北向
3室2厅,162.51,高层,17,南向
1室1厅,59.0,顶层,33,南北向
2室2厅,99.51,中层,18,南北向
3室1厅,122.76,高层,13,南北向
3室2厅,143.87,高层,7,南北向
2室1厅,91.47,高层,6,南北向
3室2厅,138.42,中层,17,南北向
4室2厅,137.0,低层,6,南北向
1室1厅,49.29,中层,29,北向
2室2厅,81.89,低层,8,南向
1室0厅,26.44,高层,5,南向
3室2厅,119.58,中层,5,南北向
2室1厅,79.85,中层,32,南向
2室1厅,102.43,低层,6,南北向
2室1厅,52.95,低层,6,南北向
3室2厅,160.34,中层,26,南北向
3室1厅,146.01,中层,28,南北向
3室2厅,135.01,低层,15,南北向
3室2厅,137.6,顶层,24,南北向
2室2厅,105.13,低层,7,南北向
3室2厅,128.39,中层,17,南北向
2室1厅,101.58,低层,11,南北向
3室2厅,226.44,高层,24,南北向
2室2厅,88.24,中层,17,南北向
2室0厅,91.54,低层,27,南向
2室1厅,102.69,高层,14,南向
1室1厅,52.08,高层,48,东向
2室2厅,102.35,高层,6,南北向
4室2厅,137.0,中层,7,南北向
2室1厅,51.08,高层,6,西向
2室1厅,94.01,中层,6,南北向
2室2厅,75.37,低层,32,东向
2室2厅,113.42,高层,6,南北向
3室1厅,100.06,低层,6,南北向
2室2厅,115.46,低层,11,南北向
2室1厅,63.0,低层,6,南北向
3室2厅,147.61,中层,6,南北向
2室1厅,88.04,中层,32,南向
3室2厅,102.0,顶层,18,南北向
3室2厅,136.18,低层,6,南北向
2室1厅,37.95,顶层,5,南向
3室2厅,127.56,中层,16,南北向
3室2厅,105.5,低层,25,南北向
3室2厅,120.07,中层,7,南北向
2室1厅,57.0,低层,6,南北向
1室1厅,72.88,低层,6,南向
1室0厅,21.93,中层,6,东向
1室0厅,24.36,低层,6,西北向
2室1厅,68.0,高层,29,南向
3室2厅,138.91,顶层,10,南北向
3室2厅,109.68,高层,10,南北向
2室1厅,85.68,低层,6,南北向
3室2厅,107.29,中层,18,南北向
1室1厅,45.76,高层,8,西向
2室2厅,98.79,低层,10,南北向
2室1厅,101.08,中层,16,南北向
3室2厅,153.69,高层,26,南北向
2室2厅,87.0,高层,32,南北向
2室1厅,78.31,低层,6,南北向
2室1厅,70.15,中层,33,南北向
2室2厅,84.89,低层,18,南向
3室2厅,89.0,中层,17,南北向
3室2厅,91.53,高层,27,南北向
1室1厅,37.35,中层,6,西南向
3室2厅,141.88,中层,18,南北向
4室2厅,242.88,高层,30,南北向
2室1厅,105.44,高层,6,南北向
1室1厅,40.74,中层,6,南向
3室2厅,126.63,高层,24,南北向
3室2厅,139.34,高层,18,南北向
3室2厅,118.55,中层,28,东向
2室1厅,89.7,低层,22,南北向
2室1厅,57.36,中层,5,南北向
3室2厅,135.0,中层,10,南北向
3室2厅,105.0,低层,22,南北向
3室2厅,133.0,中层,7,南北向
1室1厅,56.05,高层,29,南向
1室1厅,14.0,高层,8,南向
3室2厅,143.89,低层,17,南北向
3室1厅,97.45,低层,24,南北向
1室1厅,25.94,顶层,6,南北向
1室1厅,47.27,高层,6,南向
1室1厅,19.68,高层,6,南向
3室2厅,142.61,中层,10,南北向
1室1厅,39.84,低层,7,东向
3室2厅,120.26,低层,11,南北向
2室1厅,108.07,低层,26,南北向
2室1厅,41.71,中层,8,东向
2室2厅,93.41,高层,5,南北向
2室1厅,82.21,中层,5,南向
4室2厅,149.0,高层,7,南北向
3室2厅,141.44,低层,7,南北向
2室1厅,123.87,中层,7,南北向
2室2厅,87.28,中层,18,南北向
