户型,面积,楼层,总楼层,走向
2室1厅,58.82㎡,低层,（共6层）,南北向
2室2厅,114.37㎡,高层,（共11层）,南北向
1室1厅,42.14㎡,中层,（共6层）,南向
2室1厅,89.01㎡,中层,（共33层）,南向
2室1厅,89.74㎡,中层,（共33层）,南向
3室2厅,50.27㎡,中层,（共24层）,东向
1室1厅,34.93㎡,中层,（共7层）,西向
2室1厅,79.71㎡,低层,（共21层）,西北向
2室1厅,35.97㎡,中层,（共8层）,东向
3室2厅,153.08㎡,低层,（共18层）,南北向
2室1厅,117.7㎡,高层,（共12层）,南北向
2室1厅,107.96㎡,中层,（共11层）,南北向
3室2厅,107.57㎡,中层,（共8层）,东北向
2室1厅,104.62㎡,高层,（共6层）,南北向
2室1厅,113.83㎡,低层,（共11层）,南北向
3室2厅,133.03㎡,低层,（共11层）,南北向
2室2厅,93.66㎡,低层,（共33层）,南北向
2室1厅,76.93㎡,低层,（共18层）,南北向
2室2厅,109.28㎡,低层,（共8层）,南北向
2室2厅,104.41㎡,高层,（共11层）,南北向
3室2厅,165.77㎡,高层,（共18层）,南北向
2室1厅,57.03㎡,中层,（共6层）,东南向
2室2厅,123.19㎡,高层,（共11层）,东南向
2室1厅,111.96㎡,高层,（共6层）,南北向
1室1厅,38㎡,低层,（共6层）,东北向
3室2厅,155.06㎡,高层,（共30层）,南北向
3室2厅,147.54㎡,中层,（共7层）,南北向
2室2厅,111.47㎡,低层,（共6层）,南北向
3室1厅,139.82㎡,高层,（共7层）,南北向
2室1厅,47.63㎡,中层,（共6层）,南北向
1室1厅,38㎡,中层,（共6层）,北向
1室1厅,24㎡,顶层,（共5层）,南向
1室0厅,25.44㎡,高层,（共8层）,南向
2室1厅,38.56㎡,高层,（共6层）,南北向
2室1厅,51.98㎡,低层,（共6层）,南北向
2室2厅,122.24㎡,中层,（共11层）,南北向
1室1厅,39.57㎡,低层,（共7层）,南向
1室1厅,26.31㎡,高层,（共8层）,南向
2室2厅,117.58㎡,低层,（共6层）,南北向
3室2厅,151.61㎡,中层,（共16层）,南向
2室1厅,39.76㎡,低层,（共6层）,南北向
2室1厅,33.17㎡,高层,（共7层）,南北向
3室2厅,121㎡,低层,（共7层）,南北向
1室1厅,28.97㎡,中层,（共8层）,南北向
3室1厅,75.41㎡,低层,（共6层）,南向
2室1厅,44.11㎡,高层,（共5层）,南向
3室2厅,89.5㎡,低层,（共11层）,南北向
2室1厅,36.04㎡,中层,（共6层）,南北向
1室0厅,20㎡,低层,（共3层）,西南向
2室1厅,96.99㎡,低层,（共6层）,南北向
2室1厅,87.05㎡,低层,（共21层）,南向
2室1厅,105.53㎡,低层,（共6层）,南北向
2室1厅,35.03㎡,低层,（共6层）,南向
2室0厅,30.54㎡,中层,（共5层）,东南向
4室2厅,230.25㎡,高层,（共12层）,南北向
2室1厅,61.51㎡,低层,（共6层）,南北向
1室1厅,33.68㎡,高层,（共7层）,北向
2室1厅,52.73㎡,中层,（共6层）,东西向
2室2厅,136.94㎡,低层,（共32层）,南北向
1室1厅,43.99㎡,高层,（共7层）,西向
2室2厅,102.35㎡,高层,（共6层）,南北向
1室0厅,20.24㎡,中层,（共5层）,南向
1室1厅,39.56㎡,中层,（共8层）,南向
3室2厅,225.64㎡,高层,（共30层）,南向
3室1厅,122.53㎡,高层,（共6层）,东南向
2室1厅,85.22㎡,中层,（共6层）,南北向
3室2厅,142.15㎡,中层,（共18层）,东南向
4室2厅,142㎡,低层,（共18层）,南北向
1室0厅,21.2㎡,高层,（共5层）,西向
2室2厅,185.64㎡,高层,（共7层）,东西向
2室1厅,66.84㎡,低层,（共8层）,东西向
2室1厅,112.45㎡,中层,（共25层）,南向
2室2厅,100.81㎡,顶层,（共26层）,南北向
2室1厅,80㎡,低层,（共11层）,南北向
2室2厅,106.59㎡,高层,（共13层）,东西向
4室2厅,161.54㎡,高层,（共7层）,南北向
2室2厅,98.98㎡,低层,（共16层）,南北向
3室2厅,89.81㎡,低层,（共9层）,南北向
3室1厅,125.54㎡,高层,（共6层）,南北向
2室2厅,92㎡,中层,（共26层）,南北向
2室2厅,137.9㎡,低层,（共23层）,南北向
1室1厅,35.08㎡,高层,（共7层）,南向
2室1厅,101.59㎡,高层,（共8层）,东西向
1室0厅,17㎡,顶层,（共6层）,南北向
1室0厅,20.04㎡,高层,（共6层）,南北向
3室2厅,143㎡,中层,（共28层）,南北向
2室1厅,122.92㎡,中层,（共12层）,南北向
1室1厅,34.69㎡,中层,（共6层）,南北向
1室1厅,32.04㎡,中层,（共6层）,南向
1室1厅,38.71㎡,高层,（共6层）,西向
1室1厅,30㎡,中层,（共6层）,南向
2室2厅,108.34㎡,中层,（共7层）,南北向
3室2厅,174.56㎡,高层,（共14层）,南北向
1室1厅,35.23㎡,高层,（共6层）,北向
3室2厅,109㎡,低层,（共7层）,南北向
2室1厅,35.84㎡,低层,（共8层）,东向
3室2厅,143.01㎡,高层,（共10层）,南北向
3室2厅,140.92㎡,中层,（共7层）,南北向
2室1厅,62㎡,中层,（共4层）,南北向
2室2厅,87㎡,低层,（共32层）,南北向
3室2厅,137㎡,中层,（共25层）,南向
1室1厅,36.26㎡,低层,（共6层）,西向
3室1厅,109.97㎡,中层,（共8层）,南北向
1室1厅,39.85㎡,中层,（共8层）,东南向
2室1厅,21.85㎡,中层,（共8层）,东向
3室1厅,84.13㎡,中层,（共4层）,南北向
1室1厅,27.38㎡,中层,（共6层）,南向
3室1厅,124.53㎡,低层,（共11层）,南北向
2室1厅,101.33㎡,低层,（共6层）,南北向
2室1厅,37.88㎡,中层,（共8层）,南北向
3室2厅,109.25㎡,高层,（共6层）,南北向
3室2厅,87㎡,低层,（共9层）,南北向
2室2厅,87.72㎡,高层,（共32层）,南北向
2室1厅,83㎡,中层,（共6层）,南北向
1室1厅,23.51㎡,顶层,（共6层）,南向
2室1厅,44㎡,顶层,（共6层）,东西向
3室1厅,75㎡,中层,（共13层）,南北向
3室1厅,68㎡,中层,（共13层）,南北向
3室1厅,105㎡,中层,（共20层）,南北向
1室1厅,31.34㎡,高层,（共7层）,南向
3室2厅,89.32㎡,高层,（共7层）,南北向
1室1厅,30㎡,高层,（共6层）,南向
1室1厅,26.2㎡,中层,（共6层）,南向
1室0厅,13.88㎡,高层,（共5层）,南向
1室1厅,22.4㎡,顶层,（共6层）,南向
2室1厅,68.15㎡,低层,（共24层）,南向
1室0厅,11.95㎡,中层,（共4层）,北向
1室0厅,26.04㎡,中层,（共5层）,南向
3室2厅,137㎡,中层,（共25层）,南向
2室1厅,40.02㎡,中层,（共8层）,南北向
2室1厅,105.35㎡,高层,（共10层）,南北向
1室1厅,15㎡,顶层,（共2层）,东西南北向
1室1厅,14.54㎡,顶层,（共6层）,南向
2室1厅,68.54㎡,中层,（共6层）,东西向
2室1厅,35.14㎡,中层,（共5层）,南北向
1室1厅,27.11㎡,低层,（共7层）,南向
2室1厅,84.91㎡,中层,（共7层）,南北向
2室1厅,39.71㎡,顶层,（共6层）,南向
1室1厅,22.66㎡,中层,（共5层）,东向
2室2厅,96.29㎡,低层,（共6层）,南北向
1室1厅,36㎡,中层,（共6层）,南北向
3室2厅,118㎡,高层,（共20层）,南向
1室0厅,15.13㎡,高层,（共7层）,西向
1室1厅,25.91㎡,高层,（共4层）,南向
2室1厅,91.14㎡,中层,（共7层）,南北向
2室2厅,132.25㎡,低层,（共9层）,南北向
1室1厅,32.98㎡,低层,（共6层）,南向
1室1厅,48.71㎡,低层,（共10层）,东向
3室2厅,151.41㎡,中层,（共12层）,南北向
1室1厅,35.92㎡,高层,（共8层）,南向
2室1厅,60.5㎡,高层,（共6层）,东西向
1室1厅,33.66㎡,高层,（共6层）,南向
1室1厅,37.32㎡,中层,（共8层）,北向
1室1厅,37.38㎡,中层,（共8层）,东向
1室1厅,49.85㎡,低层,（共10层）,西向
2室1厅,64.1㎡,中层,（共8层）,南北向
2室1厅,49.34㎡,低层,（共10层）,北向
2室1厅,48.67㎡,高层,（共6层）,东西向
1室1厅,41.96㎡,高层,（共6层）,西向
3室2厅,170.9㎡,低层,（共9层）,南北向
3室1厅,128.49㎡,中层,（共11层）,西北向
1室1厅,53.46㎡,高层,（共14层）,北向
1室1厅,36.89㎡,中层,（共8层）,南向
2室1厅,74.15㎡,高层,（共7层）,南北向
1室1厅,38㎡,低层,（共8层）,南向
1室1厅,39.03㎡,低层,（共8层）,南向
1室1厅,35.79㎡,高层,（共8层）,东向
1室1厅,48.51㎡,中层,（共22层）,东北向
1室1厅,35.17㎡,中层,（共8层）,北向
1室1厅,38.09㎡,中层,（共8层）,东向
3室1厅,108.91㎡,高层,（共6层）,南北向
2室1厅,64.9㎡,顶层,（共5层）,东南向
1室1厅,48.83㎡,中层,（共10层）,南向
1室1厅,38.51㎡,低层,（共6层）,南向
2室1厅,68.85㎡,中层,（共8层）,南北向
1室1厅,38.96㎡,中层,（共8层）,南向
2室1厅,59.14㎡,中层,（共8层）,南北向
2室1厅,58.05㎡,低层,（共6层）,东西向
3室1厅,122.53㎡,高层,（共6层）,东南向
2室1厅,70.15㎡,中层,（共10层）,东西向
1室1厅,49.2㎡,低层,（共10层）,南向
1室1厅,36.93㎡,中层,（共7层）,南向
1室1厅,35.63㎡,中层,（共7层）,南向
1室1厅,37.43㎡,高层,（共8层）,北向
1室1厅,49.2㎡,中层,（共10层）,东向
1室1厅,38.57㎡,高层,（共8层）,东向
3室2厅,110.28㎡,高层,（共7层）,南北向
2室1厅,58.89㎡,中层,（共6层）,南北向
2室1厅,55.23㎡,高层,（共14层）,北向
1室1厅,36.87㎡,中层,（共8层）,东向
1室1厅,35.87㎡,高层,（共8层）,西向
2室1厅,67.8㎡,顶层,（共5层）,东南向
1室1厅,49.2㎡,高层,（共10层）,南向
2室1厅,72.06㎡,高层,（共6层）,南向
2室1厅,65㎡,顶层,（共5层）,东南向
2室1厅,112.84㎡,中层,（共11层）,南向
1室1厅,36.11㎡,中层,（共8层）,东向
1室1厅,35.08㎡,中层,（共8层）,北向
2室1厅,49.48㎡,中层,（共10层）,北向
1室1厅,36.73㎡,高层,（共6层）,东向
2室1厅,84.88㎡,中层,（共7层）,南北向
4室2厅,201.28㎡,中层,（共5层）,南北向
3室2厅,89.85㎡,中层,（共15层）,南北向
3室1厅,84.8㎡,中层,（共24层）,南向
1室1厅,38.78㎡,高层,（共7层）,东向
1室1厅,51.65㎡,中层,（共14层）,南向
1室1厅,34.93㎡,中层,（共7层）,东向
2室1厅,56.08㎡,中层,（共7层）,南北向
2室2厅,116.18㎡,低层,（共12层）,南北向
3室1厅,152.21㎡,中层,（共8层）,南北向
1室1厅,50.38㎡,低层,（共10层）,南向
1室1厅,36.19㎡,中层,（共8层）,南向
1室1厅,49.01㎡,高层,（共10层）,西向
2室1厅,57.12㎡,中层,（共6层）,东南向
2室1厅,106.59㎡,低层,（共13层）,东西向
3室2厅,144.64㎡,低层,（共11层）,南北向
2室1厅,54.78㎡,高层,（共6层）,东西向
4室2厅,164.57㎡,中层,（共9层）,西北向
2室1厅,86.94㎡,中层,（共32层）,东南向
1室1厅,35.19㎡,高层,（共8层）,西向
2室1厅,75.87㎡,低层,（共11层）,南北向
2室1厅,124.09㎡,高层,（共25层）,南向
1室1厅,49.2㎡,低层,（共10层）,南向
2室2厅,105.95㎡,高层,（共9层）,南北向
2室2厅,123.91㎡,中层,（共6层）,南北向
2室1厅,54.41㎡,中层,（共8层）,东向
1室1厅,54.06㎡,高层,（共26层）,南向
2室1厅,80.7㎡,中层,（共32层）,南向
1室1厅,55.92㎡,中层,（共14层）,北向
2室2厅,124.47㎡,高层,（共15层）,东西向
3室2厅,129.42㎡,中层,（共7层）,南北向
3室2厅,89.85㎡,中层,（共15层）,南北向
2室1厅,56.61㎡,中层,（共6层）,南北向
2室2厅,85.7㎡,低层,（共28层）,南北向
2室1厅,106.84㎡,中层,（共6层）,南北向
2室1厅,105.22㎡,中层,（共23层）,南向
1室1厅,57.1㎡,中层,（共32层）,南向
1室1厅,56.28㎡,中层,（共48层）,东向
1室1厅,51.94㎡,高层,（共6层）,南向
3室2厅,152.97㎡,中层,（共9层）,西南向
2室1厅,61.52㎡,中层,（共6层）,南北向
2室1厅,95.38㎡,高层,（共11层）,南向
2室1厅,99.4㎡,中层,（共6层）,南北向
2室1厅,59.62㎡,低层,（共7层）,南北向
3室2厅,94.35㎡,低层,（共7层）,南向
1室1厅,37.18㎡,高层,（共7层）,东向
2室1厅,110.17㎡,高层,（共12层）,南北向
2室1厅,97.2㎡,中层,（共30层）,南北向
2室1厅,95.69㎡,低层,（共6层）,南北向
3室1厅,106.59㎡,中层,（共13层）,东西向
1室1厅,44㎡,中层,（共6层）,东向
2室1厅,61.78㎡,高层,（共6层）,南北向
3室1厅,122.67㎡,高层,（共26层）,南北向
2室1厅,58.8㎡,高层,（共7层）,南北向
3室2厅,141㎡,低层,（共7层）,南北向
2室1厅,54.1㎡,中层,（共8层）,东向
2室1厅,89.35㎡,高层,（共16层）,西南向
5室2厅,270.58㎡,高层,（共7层）,南北向
3室2厅,141.87㎡,高层,（共11层）,东南向
3室1厅,77.97㎡,低层,（共6层）,南北向
1室0厅,15㎡,高层,（共5层）,南向
3室1厅,99.76㎡,低层,（共34层）,南北向
2室1厅,96.99㎡,低层,（共6层）,南北向
3室1厅,96.87㎡,中层,（共17层）,南向
1室1厅,62.95㎡,低层,（共21层）,西向
2室2厅,111.61㎡,高层,（共9层）,南北向
2室2厅,108.34㎡,低层,（共48层）,南向
2室2厅,99.31㎡,低层,（共13层）,南北向
3室2厅,134.38㎡,低层,（共9层）,南北向
3室1厅,124.47㎡,低层,（共15层）,东西向
2室1厅,68.46㎡,高层,（共8层）,西向
2室2厅,94.47㎡,高层,（共18层）,东南向
2室1厅,60㎡,高层,（共6层）,南北向
2室1厅,56.81㎡,低层,（共7层）,南北向
2室1厅,48.69㎡,中层,（共8层）,东向
1室1厅,31.16㎡,高层,（共8层）,东向
2室2厅,80㎡,中层,（共20层）,南北向
3室1厅,81.04㎡,顶层,（共6层）,南北向
1室1厅,57.62㎡,低层,（共32层）,南北向
2室1厅,40.58㎡,高层,（共6层）,南北向
2室1厅,68.62㎡,中层,（共8层）,南北向
3室1厅,111.82㎡,高层,（共16层）,南北向
2室2厅,102.34㎡,低层,（共6层）,南北向
3室2厅,139.97㎡,低层,（共18层）,西北向
1室1厅,58.79㎡,低层,（共6层）,南向
1室1厅,32.73㎡,中层,（共7层）,南向
4室2厅,224.13㎡,中层,（共31层）,南北向
1室1厅,38.75㎡,中层,（共7层）,东南向
4室2厅,199.82㎡,中层,（共11层）,南向
1室1厅,37.02㎡,高层,（共7层）,东向
2室1厅,116.44㎡,中层,（共25层）,南向
2室1厅,59.81㎡,中层,（共6层）,南北向
2室2厅,85.08㎡,低层,（共26层）,南向
1室1厅,51.81㎡,高层,（共48层）,西向
3室2厅,191㎡,中层,（共18层）,南北向
3室2厅,117.21㎡,低层,（共29层）,南北向
3室2厅,99.49㎡,中层,（共7层）,南向
1室1厅,37㎡,高层,（共8层）,西向
1室1厅,46.86㎡,中层,（共6层）,东南向
1室1厅,50.34㎡,中层,（共7层）,南向
3室2厅,105.5㎡,低层,（共18层）,南北向
3室2厅,162.89㎡,中层,（共11层）,南北向
2室1厅,99.4㎡,中层,（共6层）,南北向
3室2厅,94.15㎡,中层,（共26层）,南北向
1室1厅,33.97㎡,中层,（共7层）,东向
4室2厅,190.92㎡,高层,（共11层）,南北向
2室1厅,57.83㎡,高层,（共7层）,南向
2室1厅,69.92㎡,高层,（共32层）,西南向
1室1厅,48.78㎡,中层,（共6层）,南向
2室1厅,65.47㎡,高层,（共5层）,南北向
2室2厅,85.7㎡,低层,（共28层）,南北向
2室1厅,79.71㎡,低层,（共21层）,东南向
2室1厅,106.59㎡,中层,（共13层）,西向
2室2厅,81.99㎡,中层,（共6层）,南北向
2室1厅,77.27㎡,中层,（共6层）,南北向
2室1厅,69.8㎡,中层,（共32层）,东南向
3室2厅,162.5㎡,中层,（共8层）,南北向
2室1厅,40.59㎡,高层,（共7层）,南向
2室1厅,57.24㎡,中层,（共7层）,南北向
4室2厅,223.19㎡,高层,（共6层）,南北向
1室1厅,53.92㎡,低层,（共30层）,西向
2室1厅,89.26㎡,高层,（共27层）,南北向
3室2厅,57.88㎡,低层,（共24层）,南向
1室1厅,56㎡,中层,（共48层）,西向
1室1厅,60.09㎡,中层,（共21层）,东向
2室2厅,102.25㎡,高层,（共9层）,南北向
2室1厅,42.91㎡,高层,（共7层）,南北向
2室1厅,105.53㎡,低层,（共6层）,南北向
2室1厅,74.51㎡,高层,（共6层）,南北向
3室1厅,107.6㎡,低层,（共6层）,南北向
2室2厅,95.99㎡,中层,（共11层）,南北向
2室2厅,98.65㎡,高层,（共25层）,南向
3室2厅,95.07㎡,中层,（共7层）,南北向
3室2厅,119.87㎡,顶层,（共7层）,南北向
2室1厅,108.31㎡,低层,（共16层）,南北向
1室1厅,51.65㎡,低层,（共14层）,南向
2室1厅,90.28㎡,高层,（共6层）,南北向
1室1厅,36.08㎡,中层,（共7层）,西向
2室1厅,91㎡,中层,（共6层）,南北向
3室2厅,153.24㎡,中层,（共11层）,南北向
2室1厅,59.81㎡,高层,（共6层）,南北向
3室2厅,112㎡,低层,（共7层）,南北向
2室1厅,79.71㎡,中层,（共21层）,西北向
2室2厅,85.53㎡,中层,（共25层）,南北向
2室1厅,49.41㎡,中层,（共6层）,南北向
3室2厅,106.25㎡,高层,（共7层）,南北向
3室1厅,78.62㎡,中层,（共6层）,南北向
2室1厅,83.96㎡,低层,（共30层）,南向
1室1厅,41.63㎡,高层,（共6层）,西向
2室2厅,124.47㎡,中层,（共15层）,东西向
2室1厅,56.18㎡,低层,（共6层）,南北向
2室2厅,85.63㎡,低层,（共6层）,南向
2室1厅,96.32㎡,高层,（共6层）,东西向
2室2厅,108.1㎡,中层,（共8层）,南北向
3室2厅,117.62㎡,低层,（共11层）,南北向
2室1厅,104.86㎡,高层,（共6层）,南北向
2室1厅,84.38㎡,高层,（共28层）,南向
1室1厅,24.34㎡,高层,（共6层）,南向
2室2厅,114.37㎡,高层,（共11层）,南北向
1室1厅,25.43㎡,中层,（共7层）,东向
2室1厅,49.36㎡,中层,（共7层）,西向
3室2厅,114.28㎡,高层,（共11层）,南向
1室1厅,37.93㎡,顶层,（共6层）,南向
2室2厅,117.58㎡,低层,（共6层）,南北向
3室2厅,94.9㎡,中层,（共11层）,南北向
1室1厅,48.83㎡,高层,（共10层）,南向
4室2厅,183.31㎡,中层,（共5层）,南北向
1室0厅,17.89㎡,高层,（共4层）,南向
4室1厅,132.57㎡,中层,（共5层）,南北向
2室1厅,79.71㎡,高层,（共21层）,西北向
2室1厅,102.25㎡,高层,（共9层）,南北向
1室1厅,40.88㎡,低层,（共8层）,东向
3室2厅,142.86㎡,低层,（共9层）,南北向
3室2厅,104.17㎡,中层,（共16层）,南北向
3室2厅,97.59㎡,中层,（共15层）,南向
3室2厅,140.27㎡,中层,（共13层）,北向
3室2厅,152.33㎡,高层,（共6层）,南向
1室1厅,45.32㎡,低层,（共6层）,南向
2室1厅,98㎡,中层,（共11层）,南北向
2室1厅,109.15㎡,高层,（共18层）,南北向
2室1厅,70.68㎡,中层,（共5层）,东西向
3室2厅,124.36㎡,高层,（共7层）,南北向
3室1厅,97.14㎡,低层,（共8层）,南北向
1室1厅,72.62㎡,中层,（共48层）,东南向
1室1厅,34.93㎡,中层,（共7层）,东向
3室2厅,144.02㎡,高层,（共28层）,南北向
3室1厅,134.13㎡,中层,（共18层）,南北向
2室1厅,60.17㎡,中层,（共6层）,西北向
2室1厅,122.36㎡,低层,（共12层）,南北向
2室1厅,52.07㎡,中层,（共6层）,西南向
1室1厅,35.97㎡,高层,（共6层）,东北向
3室2厅,117.87㎡,高层,（共11层）,南北向
2室1厅,45.35㎡,低层,（共6层）,南北向
2室1厅,38.93㎡,高层,（共6层）,南向
1室1厅,36.15㎡,中层,（共6层）,西向
2室2厅,117.58㎡,低层,（共6层）,南北向
2室2厅,89.44㎡,高层,（共6层）,南向
4室2厅,123.38㎡,中层,（共18层）,南北向
1室0厅,15.8㎡,高层,（共5层）,南向
1室1厅,34.87㎡,中层,（共7层）,西向
3室1厅,124.81㎡,高层,（共7层）,南北向
2室2厅,87㎡,高层,（共30层）,南向
2室1厅,104.91㎡,低层,（共6层）,南北向
1室1厅,57.54㎡,高层,（共32层）,西南向
2室1厅,60.68㎡,中层,（共6层）,东西向
2室2厅,105.75㎡,中层,（共6层）,南北向
1室1厅,32.04㎡,低层,（共6层）,东南向
2室2厅,79.05㎡,中层,（共24层）,南向
2室2厅,129.18㎡,高层,（共11层）,南北向
2室1厅,79.71㎡,高层,（共21层）,东南向
3室2厅,94.27㎡,中层,（共21层）,南向
1室1厅,35.41㎡,低层,（共7层）,东向
1室1厅,35.11㎡,顶层,（共7层）,南向
2室1厅,64.92㎡,低层,（共6层）,南北向
1室1厅,35.28㎡,中层,（共8层）,西向
2室1厅,105.53㎡,低层,（共6层）,南北向
2室1厅,86.94㎡,低层,（共33层）,西南向
1室1厅,38.33㎡,中层,（共8层）,东向
2室1厅,59.8㎡,高层,（共8层）,南北向
3室2厅,122.08㎡,中层,（共17层）,南北向
3室1厅,97.73㎡,低层,（共11层）,南北向
1室1厅,57.67㎡,中层,（共28层）,南北向
2室1厅,40.42㎡,中层,（共6层）,南向
3室2厅,154.7㎡,中层,（共28层）,西南向
1室1厅,33.03㎡,中层,（共8层）,东向
2室1厅,56.92㎡,中层,（共8层）,东向
1室1厅,36.11㎡,高层,（共7层）,南向
2室2厅,97.61㎡,中层,（共6层）,南北向
3室2厅,139.97㎡,低层,（共18层）,南北向
3室2厅,88.85㎡,低层,（共8层）,南北向
3室2厅,102.96㎡,低层,（共6层）,南北向
1室1厅,57.03㎡,高层,（共28层）,南向
3室2厅,142.87㎡,高层,（共22层）,南北向
2室1厅,103.35㎡,中层,（共10层）,南北向
2室2厅,117.33㎡,低层,（共18层）,东南向
2室2厅,124.47㎡,中层,（共15层）,东西向
2室2厅,118㎡,中层,（共6层）,南向
2室1厅,35.82㎡,低层,（共6层）,北向
2室1厅,51.88㎡,低层,（共6层）,南向
3室2厅,105.4㎡,低层,（共9层）,南北向
1室1厅,28.71㎡,低层,（共6层）,南向
3室1厅,115.27㎡,中层,（共16层）,南北向
