类型,平均面积,区县,fangyuan1,fangyuan2,fangyuan3,fangyuan4,价格,面积1,面积2,平均面积
三居 ,110~143平米,[红桥],洋房,低密居所,花园洋房,景观居所,37000,110,143,126.5
三居 ,98~143平米,[河西],普通住宅,洋房,品牌地产,低密居所,34500,98,143,120.5
三居 ,89~137平米,[滨海新区],普通住宅,洋房,品牌地产,地铁沿线,15000,89,137,113
二居/ 三居/ 四居 ,80~130平米,[东丽],普通住宅,洋房,地铁沿线,洋房,18000,80,130,105
三居 ,110~143平米,[河东],普通住宅,品牌地产,地铁沿线,低密居所,37000,110,143,126.5
二居/ 三居 ,84~139平米,[东丽],普通住宅,洋房,品牌地产,低密居所,18000,84,139,111.5
三居/ 四居 ,129~400平米,[西青],联排,普通住宅,品牌地产,低密居所,850,129,400,264.5
三居/ 四居 ,89~145平米,[武清],普通住宅,洋房,品牌地产,低密居所,12000,89,145,117
二居/ 三居 ,108~162平米,[津南],洋房,品牌地产,花园洋房,景观居所,20000,108,162,135
二居/ 三居 ,77~126平米,[红桥],普通住宅,品牌地产,国际化社区,地铁沿线,19500,77,126,101.5
三居 ,91~126平米,[滨海新区],普通住宅,洋房,花园洋房,品牌地产,13500,91,126,108.5
二居/ 三居 ,76~143平米,[滨海新区],普通住宅,品牌地产,国际化社区,地铁沿线,21000,76,143,109.5
二居/ 三居 ,78~124平米,[滨海新区],洋房,品牌地产,地铁沿线,低总价,13000,78,124,101
三居 ,95~125平米,[滨海新区],普通住宅,叠拼,品牌地产,地铁沿线,22000,95,125,110
三居 ,89~128平米,[河西],普通住宅,品牌地产,地铁沿线,配套商品房,32000,89,128,108.5
三居 ,104~143平米,[河西],普通住宅,洋房,低密居所,地铁沿线,43000,104,143,123.5
三居 ,109~131平米,[滨海新区],叠拼,洋房,低总价,小户型,19000,109,131,120
二居/ 三居 ,77~108平米,[滨海新区],普通住宅,品牌地产,低密居所,低总价,9400,77,108,92.5
二居/ 三居/ 四居 ,90~170平米,[河东],普通住宅,洋房,品牌地产,地铁沿线,27000,90,170,130
四居 ,157~168平米,[红桥],普通住宅,叠拼,品牌地产,地铁沿线,25000,157,168,162.5
三居/ 四居 ,106~200平米,[北辰],普通住宅,洋房,装修交付,洋房,23000,106,200,153
二居/ 三居 ,99~127平米,[河东],普通住宅,商业,品牌地产,地铁沿线,23500,99,127,113
一居/ 二居/ 三居 ,51~149平米,[河北],普通住宅,洋房,品牌地产,地铁沿线,24000,51,149,100
二居/ 三居/ 四居 ,94~179平米,[滨海新区],普通住宅,品牌地产,低密居所,花园洋房,21500,94,179,136.5
二居/ 三居 ,78~126平米,[南开],普通住宅,洋房,品牌地产,地铁沿线,42000,78,126,102
二居/ 三居/ 四居 ,80~243平米,[静海],普通住宅,叠拼,低密居所,花园洋房,13000,80,243,161.5
二居/ 三居/ 四居 ,75~126平米,[东丽],普通住宅,洋房,品牌地产,地铁沿线,15000,75,126,100.5
二居/ 三居 ,84~143平米,[河东],普通住宅,品牌地产,地铁沿线,低密居所,32500,84,143,113.5
二居/ 三居/ 四居 ,89~140平米,[滨海新区],洋房,大平层,不限购,地铁沿线,17500,89,140,114.5
三居/ 四居 ,103~201平米,[武清],洋房,大平层,品牌地产,低密居所,24000,103,201,152
三居 ,99~155平米,[滨海新区],普通住宅,品牌地产,地铁沿线,低密居所,23000,99,155,127
二居/ 三居 ,74~142平米,[东丽],普通住宅,洋房,品牌地产,地铁沿线,90,74,142,108
三居/ 四居 ,150~215平米,[南开],大平层,品牌地产,国际化社区,地铁沿线,65000,150,215,182.5
三居 ,114~165平米,[西青],普通住宅,洋房,品牌地产,低密居所,26000,114,165,139.5
三居/ 四居 ,150~240平米,[滨海新区],普通住宅,品牌地产,地铁沿线,豪华居住区,32000,150,240,195
二居/ 三居 ,76~137平米,[滨海新区],普通住宅,洋房,品牌地产,国际化社区,16000,76,137,106.5
三居 ,135~175平米,[西青],洋房,品牌地产,花园洋房,景观居所,34000,135,175,155
三居/ 四居 ,96~175平米,[红桥],普通住宅,商业,品牌地产,国际化社区,45000,96,175,135.5
三居/ 四居 ,98~170平米,[滨海新区],普通住宅,品牌地产,地铁沿线,景观居所,22000,98,170,134
三居 ,96~143平米,[西青],普通住宅,洋房,品牌地产,低总价,18000,96,143,119.5
三居 ,110~150平米,[河东],普通住宅,地铁沿线,国企开发,湖景地产,38000,110,150,130
二居/ 三居 ,85~175平米,[河东],普通住宅,洋房,品牌地产,地铁沿线,33500,85,175,130
二居/ 三居/ 四居/ 五居以上 ,136~420平米,[滨海新区],联排,洋房,低密居所,特色别墅,27000,136,420,278
二居/ 三居 ,79~143平米,[西青],普通住宅,品牌地产,低密居所,中式地产,20200,79,143,111
二居/ 三居 ,80~132平米,[津南],普通住宅,洋房,品牌地产,低总价,14000,80,132,106
二居/ 三居/ 四居 ,78~119平米,[滨海新区],普通住宅,洋房,品牌地产,低密居所,14000,78,119,98.5
二居/ 三居 ,80~135平米,[滨海新区],普通住宅,洋房,品牌地产,景观居所,12500,80,135,107.5
三居/ 四居 ,89~133平米,[河北],普通住宅,洋房,品牌地产,文旅地产,29000,89,133,111
三居/ 四居 ,95~300平米,[滨海新区],叠拼,洋房,品牌地产,低密居所,20500,95,300,197.5
二居/ 三居/ 四居 ,81~166平米,[河西],普通住宅,大平层,品牌地产,国际化社区,55000,81,166,123.5
二居/ 三居 ,80~125平米,[津南],普通住宅,洋房,低密居所,品牌地产,18000,80,125,102.5
三居 ,99~129平米,[滨海新区],普通住宅,购物中心,品牌地产,国际化社区,19000,99,129,114
二居/ 三居/ 四居 ,90~171平米,[津南],普通住宅,住宅底商,小户型,现房,11000,90,171,130.5
二居/ 三居 ,78~126平米,[武清],普通住宅,洋房,品牌地产,低密居所,12800,78,126,102
二居/ 三居/ 四居 ,88~143平米,[南开],普通住宅,洋房,品牌地产,地铁沿线,42000,88,143,115.5
二居/ 三居 ,76~127平米,[西青],普通住宅,品牌地产,地铁沿线,低密居所,21500,76,127,101.5
二居/ 三居/ 四居 ,84~142平米,[滨海新区],普通住宅,洋房,品牌地产,低密居所,20000,84,142,113
二居/ 三居 ,85~139平米,[西青],普通住宅,,,,15600,85,139,112
二居/ 三居/ 四居 ,103~164平米,[西青],联排,普通住宅,低密居所,洋房,18000,103,164,133.5
二居/ 三居 ,78~130平米,[津南],普通住宅,商业,品牌地产,低密居所,18000,78,130,104
三居/ 四居 ,186~300平米,[西青],普通住宅,洋房,品牌地产,国际化社区,45000,186,300,243
二居/ 三居 ,78~95平米,[北辰],普通住宅,品牌地产,低总价,低密居所,11000,78,95,86.5
二居/ 三居/ 四居 ,119~208平米,[河东],普通住宅,品牌地产,地铁沿线,景观居所,38000,119,208,163.5
一居/ 二居 ,68~87平米,[西青],普通住宅,现房,低总价,地铁沿线,7000,68,87,77.5
三居 ,92~139平米,[河东],普通住宅,商业,品牌地产,地铁沿线,30000,92,139,115.5
二居/ 三居 ,85~125平米,[滨海新区],普通住宅,洋房,品牌地产,低总价,18000,85,125,105
二居/ 三居 ,89~120平米,[北辰],普通住宅,洋房,品牌地产,低总价,11000,89,120,104.5
三居 ,95~120平米,[东丽],普通住宅,洋房,品牌地产,地铁沿线,18000,95,120,107.5
三居/ 四居 ,98~240平米,[滨海新区],普通住宅,洋房,品牌地产,花园洋房,15500,98,240,169
二居/ 三居 ,85~105平米,[东丽],普通住宅,品牌地产,地铁沿线,低总价,13000,85,105,95
三居 ,93~108平米,[津南],普通住宅,洋房,品牌地产,地铁沿线,13600,93,108,100.5
二居/ 三居 ,81~105平米,[武清],普通住宅,洋房,品牌地产,低密居所,12000,81,105,93
二居 ,87~97平米,[滨海新区],普通住宅,洋房,品牌地产,景观居所,12000,87,97,92
三居 ,90~120平米,[河东],普通住宅,品牌地产,地铁沿线,低密居所,35000,90,120,105
三居/ 四居 ,121~202平米,[宝坻],普通住宅,叠拼,低密居所,洋房,14500,121,202,161.5
三居 ,89~140平米,[河西],普通住宅,品牌地产,地铁沿线,配套商品房,39000,89,140,114.5
二居/ 三居 ,80~120平米,[河东],普通住宅,品牌地产,地铁沿线,低密居所,36000,80,120,100
二居/ 三居 ,79~120平米,[东丽],普通住宅,洋房,品牌地产,地铁沿线,20000,79,120,99.5
三居/ 四居 ,118~188平米,[滨海新区],普通住宅,大平层,品牌地产,地铁沿线,30000,118,188,153
二居/ 三居 ,79~135平米,[津南],洋房,品牌地产,地铁沿线,低密居所,14000,79,135,107
一居/ 二居/ 三居 ,66~117平米,[滨海新区],普通住宅,洋房,品牌地产,低密居所,13500,66,117,91.5
二居/ 三居 ,75~108平米,[滨海新区],普通住宅,不限购,低总价,宜居生态地产,9500,75,108,91.5
三居 ,108~176平米,[宝坻],普通住宅,洋房,品牌地产,低密居所,11500,108,176,142
二居/ 三居 ,82~116平米,[北辰],普通住宅,商业,品牌地产,经济住宅,20000,82,116,99
一居/ 二居 ,85~135平米,[河西],品牌地产,地铁沿线,不限购,城市中心地产,28000,85,135,110
二居/ 三居 ,86~128平米,[武清],普通住宅,洋房,现房,复式,9500,86,128,107
二居/ 三居/ 四居 ,92~224平米,[河北],普通住宅,商业,品牌地产,地铁沿线,43000,92,224,158
三居/ 四居 ,146~185平米,[滨海新区],普通住宅,洋房,品牌地产,低密居所,25000,146,185,165.5
三居 ,115~143平米,[西青],普通住宅,商业,低密居所,改善优选,25000,115,143,129
三居 ,105~143平米,[河北],普通住宅,洋房,低密居所,洋房,11000,105,143,124
二居/ 三居/ 四居 ,96~148平米,[滨海新区],普通住宅,品牌地产,低密居所,低总价,11000,96,148,122
二居/ 三居 ,76~95平米,[西青],普通住宅,品牌地产,刚需必看,,20500,76,95,85.5
二居/ 三居 ,85~142平米,[滨海新区],普通住宅,叠拼,品牌地产,低密居所,20000,85,142,113.5
一居/ 二居 ,38~69平米,[宝坻],普通住宅,商业,低密居所,小户型,8300,38,69,53.5
三居/ 四居 ,95~168平米,[宝坻],普通住宅,品牌地产,花园洋房,景观居所,10900,95,168,131.5
三居/ 四居 ,88~127平米,[津南],普通住宅,洋房,地铁沿线,小户型,19000,88,127,107.5
二居/ 三居 ,89~129平米,[武清],普通住宅,低密居所,景观居所,湖景地产,16500,89,129,109
二居/ 三居/ 四居 ,82~124平米,[静海],洋房,品牌地产,低密居所,低总价,12600,82,124,103
二居/ 三居/ 四居/ 五居 ,88~673平米,[滨海新区],独栋,联排,现房,复合地产,7500,88,673,380.5
二居/ 三居/ 四居 ,81~143平米,[滨海新区],普通住宅,洋房,品牌地产,低密居所,12500,81,143,112
二居/ 三居/ 四居 ,75~140平米,[西青],普通住宅,品牌地产,地铁沿线,小户型,19500,75,140,107.5
三居 ,99~137平米,[南开],普通住宅,商业,品牌地产,国际化社区,37000,99,137,118
三居 ,88~108平米,[河西],普通住宅,品牌地产,配套商品房,地铁沿线,35000,88,108,98
二居/ 三居 ,79~110平米,[滨海新区],普通住宅,洋房,装修交付,低密居所,12000,79,110,94.5
二居/ 三居 ,82~122平米,[东丽],普通住宅,地铁沿线,低密居所,小户型,147,82,122,102
三居/ 四居 ,87~140平米,[北辰],普通住宅,洋房,品牌地产,低密居所,18000,87,140,113.5
一居/ 二居 ,63~88平米,[津南],普通住宅,品牌地产,低密居所,低总价,13500,63,88,75.5
四居 ,210平米,[滨海新区],普通住宅,商业,品牌地产,国际化社区,25000,210平米,,210
二居/ 三居/ 四居 ,85~180平米,[津南],联排,普通住宅,低密居所,洋房,13000,85,180,132.5
三居/ 四居 ,87~123平米,[滨海新区],普通住宅,品牌地产,低密居所,低总价,20000,87,123,105
二居/ 三居/ 四居 ,87~160平米,[河北],普通住宅,洋房,低密居所,花园洋房,16000,87,160,123.5
二居/ 三居/ 四居 ,82~137平米,[武清],联排,普通住宅,品牌地产,低密居所,14000,82,137,109.5
二居/ 三居 ,85~136平米,[滨海新区],普通住宅,品牌地产,低密居所,景观居所,13000,85,136,110.5
三居 ,93~110平米,[武清],洋房,低总价,花园洋房,景观居所,11500,93,110,101.5
二居/ 三居 ,78~100平米,[滨海新区],普通住宅,洋房,低密居所,景观居所,8888,78,100,89
三居 ,101~140平米,[滨海新区],普通住宅,洋房,不限购,花园洋房,16500,101,140,120.5
三居/ 四居 ,89~154平米,[西青],普通住宅,品牌地产,现房,,19000,89,154,121.5
三居 ,104~138平米,[滨海新区],普通住宅,品牌地产,低密居所,改善优选,14000,104,138,121
三居 ,90~128平米,[东丽],普通住宅,洋房,品牌地产,地铁沿线,25000,90,128,109
三居/ 四居 ,89~137平米,[滨海新区],普通住宅,洋房,品牌地产,低密居所,13000,89,137,113
二居/ 三居 ,89~110平米,[滨海新区],普通住宅,洋房,低密居所,低总价,10600,89,110,99.5
三居 ,89~128平米,[东丽],普通住宅,地铁沿线,低密居所,配套商品房,25500,89,128,108.5
二居/ 三居/ 四居 ,73~144平米,[武清],联排,普通住宅,小户型,低密居所,10500,73,144,108.5
二居/ 三居/ 四居 ,79~124平米,[北辰],普通住宅,商业,品牌地产,经济住宅,18000,79,124,101.5
二居/ 三居 ,76~143平米,[津南],叠拼,洋房,品牌地产,国际化社区,21000,76,143,109.5
一居/ 二居 ,58~114平米,[河西],普通住宅,住宅型公寓,品牌地产,地铁沿线,32000,58,114,86
二居 ,98~102平米,[蓟州],普通住宅,洋房,国际化社区,低密居所,8000,98,102,100
三居 ,86~125平米,[东丽],普通住宅,洋房,品牌地产,经济住宅,9800,86,125,105.5
二居/ 三居/ 四居 ,87~180平米,[滨海新区],普通住宅,品牌地产,低密居所,中式地产,27500,87,180,133.5
一居/ 二居/ 三居/ 四居 ,50~160平米,[武清],联排,普通住宅,品牌地产,国际化社区,8800,50,160,105
二居/ 三居/ 四居 ,118~178平米,[武清],普通住宅,品牌地产,低密居所,景观居所,22000,118,178,148
二居 ,143平米,[河西],普通住宅,叠拼,品牌地产,地铁沿线,50000,143平米,,143
二居/ 四居 ,80~130平米,[河北],普通住宅,商业,品牌地产,,32000,80,130,105
一居/ 二居/ 三居/ 四居 ,44~360平米,[津南],普通住宅,叠拼,品牌地产,宜居生态地产,9600,44,360,202
三居 ,97~135平米,[滨海新区],普通住宅,品牌地产,低密居所,现房,15000,97,135,116
二居/ 三居 ,77~139平米,[津南],普通住宅,叠拼,品牌地产,地铁沿线,21000,77,139,108
二居/ 三居/ 四居 ,88~120平米,[东丽],普通住宅,洋房,低密居所,现房,9900,88,120,104
二居/ 三居 ,90~142平米,[滨海新区],普通住宅,小户型,景观居所,教育地产,14800,90,142,116
三居 ,85~108平米,[东丽],普通住宅,品牌地产,地铁沿线,低密居所,21000,85,108,96.5
二居/ 三居/ 四居 ,83~121平米,[北辰],普通住宅,品牌地产,景观居所,,10000,83,121,102
二居/ 三居/ 四居 ,89~150平米,[静海],联排,普通住宅,湖景地产,宜居生态地产,7000,89,150,119.5
三居/ 四居 ,161~275平米,[河北],普通住宅,叠拼,品牌地产,文旅地产,18000,161,275,218
二居/ 三居 ,88~120平米,[东丽],普通住宅,地铁沿线,现房,创意地产,11500,88,120,104
三居/ 四居 ,93~143平米,[静海],普通住宅,洋房,品牌地产,现房,14500,93,143,118
二居/ 三居/ 四居/ 五居 ,90~150平米,[西青],联排,普通住宅,地铁沿线,低密居所,13500,90,150,120
二居/ 三居 ,77~127平米,[滨海新区],普通住宅,洋房,品牌地产,低密居所,8500,77,127,102
三居/ 四居/ 五居 ,209~838平米,[滨海新区],普通住宅,品牌地产,国际化社区,花园洋房,35000,209,838,523.5
三居 ,89~160平米,[蓟州],普通住宅,洋房,品牌地产,低密居所,11500,89,160,124.5
二居/ 三居 ,88~130平米,[河北],普通住宅,商业,现房,公园地产,26000,88,130,109
二居/ 三居 ,82~102平米,[北辰],普通住宅,品牌地产,地铁沿线,经济住宅,10500,82,102,92
二居/ 三居/ 四居 ,85~145平米,[津南],普通住宅,洋房,现房,中式地产,17000,85,145,115
二居/ 三居 ,133~158平米,[津南],联排,普通住宅,品牌地产,国际化社区,28000,133,158,145.5
二居/ 三居 ,83~121平米,[滨海新区],普通住宅,洋房,低密居所,低总价,19000,83,121,102
三居 ,109~119平米,[滨海新区],普通住宅,洋房,低密居所,低总价,16000,109,119,114
二居/ 三居/ 四居 ,130~165平米,[武清],普通住宅,叠拼,品牌地产,宜居生态地产,8500,130,165,147.5
三居/ 四居 ,99~167平米,[东丽],普通住宅,洋房,花园洋房,景观居所,13000,99,167,133
二居/ 三居/ 四居 ,106~269平米,[河西],洋房,地铁沿线,低密居所,景观居所,37000,106,269,187.5
二居/ 三居/ 四居 ,86~138平米,[滨海新区],普通住宅,标准写字楼,品牌地产,复合地产,23500,86,138,112
二居/ 三居/ 四居 ,86~195平米,[静海],普通住宅,洋房,低密居所,现房,16000,86,195,140.5
二居/ 三居 ,85~130平米,[滨海新区],普通住宅,洋房,低密居所,低总价,6500,85,130,107.5
三居/ 四居 ,100~172平米,[宝坻],普通住宅,购物中心,品牌地产,经济住宅,10500,100,172,136
二居/ 三居 ,79~118平米,[北辰],普通住宅,品牌地产,低密居所,,20000,79,118,98.5
二居/ 三居 ,79~100平米,[北辰],普通住宅,品牌地产,地铁沿线,低密居所,10000,79,100,89.5
三居 ,89~108平米,[蓟州],普通住宅,洋房,品牌地产,低密居所,9000,89,108,98.5
三居/ 四居 ,90~125平米,[武清],普通住宅,洋房,品牌地产,低密居所,10000,90,125,107.5
二居/ 三居 ,275~320平米,[滨海新区],双拼,低密居所,现房,景观居所,17500,275,320,297.5
三居 ,92~124平米,[西青],普通住宅,低密居所,,,22000,92,124,108
二居/ 三居 ,135~169平米,[滨海新区],联排,普通住宅,品牌地产,低密居所,18500,135,169,152
三居/ 四居 ,89~143平米,[东丽],普通住宅,洋房,品牌地产,低密居所,24000,89,143,116
二居/ 三居 ,0~120平米,[滨海新区],洋房,品牌地产,国际化社区,低密居所,16200,0,120,60
一居/ 二居/ 三居 ,61~120平米,[河北],购物中心,地铁沿线,低总价,小户型,30000,61,120,90.5
三居/ 四居 ,98~152平米,[西青],联排,普通住宅,品牌地产,地铁沿线,200,98,152,125
三居/ 四居 ,90~139平米,[静海],普通住宅,品牌地产,低密居所,景观居所,15000,90,139,114.5
二居/ 三居/ 四居 ,90~140平米,[武清],普通住宅,洋房,品牌地产,低密居所,14000,90,140,115
二居/ 三居/ 四居 ,84~163平米,[宁河],普通住宅,住宅底商,品牌地产,低密居所,11000,84,163,123.5
二居/ 三居 ,85~125平米,[宁河],普通住宅,洋房,品牌地产,低密居所,5500,85,125,105
二居/ 三居 ,83~115平米,[东丽],普通住宅,品牌地产,低密居所,小户型,24500,83,115,99
二居/ 三居 ,82~121平米,[武清],普通住宅,品牌地产,经济住宅,低密居所,11000,82,121,101.5
三居/ 四居 ,98~130平米,[滨海新区],普通住宅,洋房,品牌地产,宜居生态地产,16500,98,130,114
二居/ 三居 ,82~108平米,[西青],普通住宅,品牌地产,地铁沿线,经济住宅,131,82,108,95
一居/ 二居/ 三居/ 四居 ,80~143平米,[武清],普通住宅,低总价,现房,,12800,80,143,111.5
三居 ,90~140平米,[蓟州],普通住宅,购物中心,品牌地产,复合地产,12000,90,140,115
二居/ 三居/ 四居 ,83~141平米,[宝坻],普通住宅,洋房,品牌地产,低密居所,8500,83,141,112
三居/ 四居 ,118~177平米,[蓟州],联排,普通住宅,低密居所,现房,15000,118,177,147.5
二居/ 三居 ,120~172平米,[滨海新区],普通住宅,叠拼,品牌地产,低密居所,12500,120,172,146
二居/ 三居 ,80~117平米,[宝坻],普通住宅,洋房,品牌地产,低密居所,11000,80,117,98.5
二居 ,97平米,[河西],普通住宅,品牌地产,现房,刚需必看,33000,97平米,,97
